algoritmo,tamanho_dados,repeticoes,timestamp,tempo_medio,tempo_desvio,tempo_min,tempo_max,tempo_mediana,tempo_q1,tempo_q3,tempo_ic_inferior,tempo_ic_superior,memoria_media,memoria_desvio,memoria_min,memoria_max,throughput_medio,throughput_desvio,throughput_min,throughput_max,tempos_brutos,memorias_brutas,throughputs_brutos,fator_a_tamanho,fator_b_distribuicao,fator_c_algoritmo,nome_dados,speedup
Merge Sort (Implementação Clássica),10000,5,2025-06-30T20:02:50.665783,0.04210308000110672,0.027307698674758338,0.02785829999993439,0.0908372000012605,0.03130950000195298,0.028297200002270984,0.03221320000011474,0.008196093682862587,0.07601006631935085,0.00234375,0.003493856214843421,0.0,0.0078125,290452.39730209036,102984.11943673386,110087.05684302506,358959.44835196517,"[0.028297200002270984, 0.03130950000195298, 0.0908372000012605, 0.02785829999993439, 0.03221320000011474]","[0.0078125, 0.00390625, 0.0, 0.0, 0.0]","[353391.85499616404, 319391.8778446233, 110087.05684302506, 358959.44835196517, 310431.7484746744]",10000,exponencial,merge_sort_implementação_clássica,10000_exponencial,1.0
"Merge Sort (Híbrido com Insertion Sort, cutoff=10)",10000,5,2025-06-30T20:02:51.090380,0.021713059999456163,0.0014876193073739788,0.02046390000032261,0.024005100000067614,0.021051599997008452,0.020648300000175368,0.022396399999706773,0.019865936662457073,0.023560183336455254,0.0,0.0,0.0,0.0,462213.7054778684,30336.270258439847,416578.14380993345,488665.4059022157,"[0.024005100000067614, 0.02046390000032261, 0.020648300000175368, 0.022396399999706773, 0.021051599997008452]","[0.0, 0.0, 0.0, 0.0, 0.0]","[416578.14380993345, 488665.4059022157, 484301.37105306826, 446500.3304160904, 475023.2762080343]",10000,exponencial,"merge_sort_híbrido_com_insertion_sort,_cutoff_10",10000_exponencial,1.939067086912727
Merge Sort (Otimizado com Cutoff),10000,5,2025-06-30T20:02:51.531160,0.027467900000192457,0.000626215381527436,0.0267375000003085,0.02823290000014822,0.02743489999920712,0.026993400002538692,0.027940799998759758,0.026690350905828403,0.02824544909455651,0.0,0.0,0.0,0.0,364212.5927955868,8294.845713675404,354196.69959329366,374006.54511022416,"[0.02823290000014822, 0.02743489999920712, 0.026993400002538692, 0.0267375000003085, 0.027940799998759758]","[0.0, 0.0, 0.0, 0.0, 0.0]","[354196.69959329366, 364499.2327396493, 370460.9274511367, 374006.54511022416, 357899.55908362975]",10000,exponencial,merge_sort_otimizado_com_cutoff,10000_exponencial,1.5328102985962422
Quick Sort (Implementação Clássica),10000,5,2025-06-30T20:02:51.942126,0.019516879999719093,0.0015908453282284956,0.017875999998068437,0.021863300000404706,0.019388599997910205,0.018295000001671724,0.0201615000005404,0.017541584628947116,0.02149217537049107,0.00078125,0.001746928107421711,0.0,0.00390625,515031.20554399723,40778.55029322921,457387.4941026694,559409.2638778549,"[0.017875999998068437, 0.019388599997910205, 0.018295000001671724, 0.0201615000005404, 0.021863300000404706]","[0.00390625, 0.0, 0.0, 0.0, 0.0]","[559409.2638778549, 515766.99715698126, 546597.4309421284, 495994.8416403524, 457387.4941026694]",10000,exponencial,quick_sort_implementação_clássica,10000_exponencial,2.1572648907874985
Quick Sort (Otimizado com Median-of-Three),10000,5,2025-06-30T20:02:52.444094,0.028768080000736516,0.004429962113316743,0.022871900000609457,0.03295380000054138,0.02965580000090995,0.025637800001277355,0.03272110000034445,0.02326755553122444,0.03426860447024859,0.0,0.0,0.0,0.0,354707.45868909697,57880.16646824711,303455.140221635,437217.72129702976,"[0.025637800001277355, 0.02965580000090995, 0.03272110000034445, 0.03295380000054138, 0.022871900000609457]","[0.0, 0.0, 0.0, 0.0, 0.0]","[390049.0681533427, 337202.166176369, 305613.197597108, 303455.140221635, 437217.72129702976]",10000,exponencial,quick_sort_otimizado_com_median_of_three,10000_exponencial,1.4635345841651164
"Quick Sort (Híbrido com Insertion Sort, cutoff=10)",10000,5,2025-06-30T20:02:52.875483,0.020741699999052798,0.0025993836087543696,0.018749599999864586,0.02467429999887827,0.019299399998999434,0.018851099997846177,0.022134099999675527,0.017514138954541514,0.02396926104356408,0.00078125,0.0017469281074217109,0.0,0.00390625,487808.0249588654,56838.8919348774,405279.987697913,533344.7113576941,"[0.019299399998999434, 0.02467429999887827, 0.022134099999675527, 0.018749599999864586, 0.018851099997846177]","[0.0, 0.0, 0.0, 0.0, 0.00390625]","[518150.8233685215, 405279.987697913, 451791.57951516414, 533344.7113576941, 530473.0228550347]",10000,exponencial,"quick_sort_híbrido_com_insertion_sort,_cutoff_10",10000_exponencial,2.0298760469503185
Merge Sort (Implementação Clássica),10000,5,2025-06-30T20:02:53.446993,0.03337553999954253,0.0033054813572320585,0.028741999998601386,0.037440100000821985,0.03390460000082385,0.031747199998790165,0.03504379999867524,0.02927124280153376,0.0374798371975513,0.0,0.0,0.0,0.0,302061.40453951294,30914.49224531089,267093.3036979189,347922.90030222706,"[0.03504379999867524, 0.031747199998790165, 0.037440100000821985, 0.03390460000082385, 0.028741999998601386]","[0.0, 0.0, 0.0, 0.0, 0.0]","[285357.1815949763, 314988.4084385736, 267093.3036979189, 294945.2286638689, 347922.90030222706]",10000,quase,merge_sort_implementação_clássica,10000_quase_ordenado,1.0
"Merge Sort (Híbrido com Insertion Sort, cutoff=10)",10000,5,2025-06-30T20:02:53.932656,0.023776839999482036,0.002807048789294668,0.020837899999605725,0.027854899999510963,0.022668800000246847,0.02217670000027283,0.025345899997773813,0.020291428576613375,0.027262251422350697,0.0,0.0,0.0,0.0,425099.5737233801,48034.04556266969,359003.26334596664,479894.80706737295,"[0.022668800000246847, 0.025345899997773813, 0.02217670000027283, 0.020837899999605725, 0.027854899999510963]","[0.0, 0.0, 0.0, 0.0, 0.0]","[441134.95199971355, 394541.12897463975, 450923.71722920786, 479894.80706737295, 359003.26334596664]",10000,quase,"merge_sort_híbrido_com_insertion_sort,_cutoff_10",10000_quase_ordenado,1.4036995664802216
Merge Sort (Otimizado com Cutoff),10000,5,2025-06-30T20:02:54.467893,0.030760200000804615,0.007021787819884344,0.02439030000095954,0.04004290000011679,0.027058800002123462,0.025840999998763436,0.03646800000205985,0.02204149886182851,0.03947890113978072,0.0,0.0,0.0,0.0,338098.33891541144,71483.24943940844,249732.1622552521,409999.0569860391,"[0.04004290000011679, 0.03646800000205985, 0.02439030000095954, 0.027058800002123462, 0.025840999998763436]","[0.0, 0.0, 0.0, 0.0, 0.0]","[249732.1622552521, 274213.00864964246, 409999.0569860391, 369565.53872364043, 386981.9279624832]",10000,quase,merge_sort_otimizado_com_cutoff,10000_quase_ordenado,1.0850235043552872
Quick Sort (Implementação Clássica),10000,5,2025-06-30T20:02:54.938369,0.033311140000296294,0.000993541797823691,0.0327158000000054,0.035081400001217844,0.03292209999926854,0.03291130000070552,0.032925100000284147,0.03207749491922797,0.03454478508136462,0.0,0.0,0.0,0.0,300405.6074869449,8622.411954405306,285051.33773603255,305662.70731568075,"[0.03291130000070552, 0.03292209999926854, 0.035081400001217844, 0.032925100000284147, 0.0327158000000054]","[0.0, 0.0, 0.0, 0.0, 0.0]","[303847.0069485444, 303747.3308270791, 285051.33773603255, 303719.65460738767, 305662.70731568075]",10000,quase,quick_sort_implementação_clássica,10000_quase_ordenado,1.0019332871599609
